implementation,size,block_size,num_warps,grid_size,median_ms,useful_gbps
pytorch_eager,128,framework,framework,framework,0.011904000043869017,0.06451612879450108
triton_fused,128,128,2,1,0.01296895980834961,0.05921831907486907
triton_fused,128,128,4,1,0.012871680259704591,0.05966586991787394
triton_fused,128,128,8,1,0.020218878984451294,0.03798430173060568
triton_fused,128,256,2,1,0.01612287998199463,0.04763416963083958
triton_fused,128,256,4,1,0.01311743974685669,0.05854801049755419
triton_fused,128,256,8,1,0.0130457603931427,0.058869699952766814
triton_fused,128,512,2,1,0.01995248019695282,0.0384914553187874
triton_fused,128,512,4,1,0.026501119136810303,0.028979908208225092
triton_fused,128,512,8,1,0.02004480004310608,0.03831417616281659
triton_fused,128,1024,2,1,0.01170431971549988,0.06561679949522804
triton_fused,128,1024,4,1,0.021079039573669432,0.03643429755496715
triton_fused,128,1024,8,1,0.014023680090904236,0.05476451224084362
pytorch_eager,1000,framework,framework,framework,0.011074399948120118,0.5417900769439432
triton_fused,1000,128,2,8,0.014044319987297058,0.42721897574442463
triton_fused,1000,128,4,8,0.014039039611816406,0.42737966170776437
triton_fused,1000,128,8,8,0.014197919964790345,0.4225971138645308
triton_fused,1000,256,2,4,0.01302016019821167,0.4608238231065778
triton_fused,1000,256,4,4,0.012984319925308227,0.46209582284746187
triton_fused,1000,256,8,4,0.016092159748077393,0.3728523761838027
triton_fused,1000,512,2,2,0.0160153603553772,0.37464033695535826
triton_fused,1000,512,4,2,0.016143360137939454,0.3716698350734956
triton_fused,1000,512,8,2,0.016128000020980835,0.3720238090398456
triton_fused,1000,1024,2,1,0.01315343976020813,0.4561544439615893
triton_fused,1000,1024,4,1,0.015943679809570312,0.37632466730788555
triton_fused,1000,1024,8,1,0.013132799863815308,0.4568713497669107
pytorch_eager,100003,framework,framework,framework,0.013849599659442902,43.32385157363716
triton_fused,100003,128,2,782,0.013952000439167023,43.00587593988227
triton_fused,100003,128,4,782,0.01377280056476593,43.56543153140454
triton_fused,100003,128,8,782,0.013875199854373932,43.24391765866018
triton_fused,100003,256,2,391,0.014028800278902055,42.77044280845372
triton_fused,100003,256,4,391,0.013951999694108964,43.005878236461626
triton_fused,100003,256,8,391,0.01377280056476593,43.56543153140454
triton_fused,100003,512,2,196,0.013823999464511872,43.40408154241684
triton_fused,100003,512,4,196,0.013823999464511872,43.40408154241684
triton_fused,100003,512,8,196,0.01377280056476593,43.56543153140454
triton_fused,100003,1024,2,98,0.013823999464511872,43.40408154241684
triton_fused,100003,1024,4,98,0.0137984000146389,43.48460686481282
triton_fused,100003,1024,8,98,0.01372160017490387,43.727990347467156
pytorch_eager,1000000,framework,framework,framework,0.013388799875974654,448.1357594093715
triton_fused,1000000,128,2,7813,0.01372160017490387,437.26678547110737
triton_fused,1000000,128,4,7813,0.013543999940156936,443.0005926248164
triton_fused,1000000,128,8,7813,0.013568799942731857,442.19091042122017
triton_fused,1000000,256,2,3907,0.013593599945306779,441.3841825668493
triton_fused,1000000,256,4,3907,0.013542400300502777,443.0529202254672
triton_fused,1000000,256,8,3907,0.013465599715709686,445.57985731597824
triton_fused,1000000,512,2,1954,0.013516800105571746,443.8920419875667
triton_fused,1000000,512,4,1954,0.013438399881124496,446.48172796432164
triton_fused,1000000,512,8,1954,0.013440799713134766,446.4020094084591
triton_fused,1000000,1024,2,977,0.013467200100421906,445.52690650315867
triton_fused,1000000,1024,4,977,0.013414400070905684,447.2805319869147
triton_fused,1000000,1024,8,977,0.013593599945306779,441.3841825668493
pytorch_eager,10000000,framework,framework,framework,0.1239023983478546,484.2521274814283
triton_fused,10000000,128,2,78125,0.0741375982761383,809.3059580446568
triton_fused,10000000,128,4,78125,0.07662400007247924,783.0444761856014
triton_fused,10000000,128,8,78125,0.11381759643554687,527.1592607736807
triton_fused,10000000,256,2,39063,0.07495679855346679,800.4610810212487
triton_fused,10000000,256,4,39063,0.07455120086669922,804.816009701609
triton_fused,10000000,256,8,39063,0.07592960000038147,790.205664190231
triton_fused,10000000,512,2,19532,0.07385440170764923,812.409262179233
triton_fused,10000000,512,4,19532,0.07500799894332885,799.9146870366731
triton_fused,10000000,512,8,19532,0.07454720139503479,804.8591882350166
triton_fused,10000000,1024,2,9766,0.07354879975318909,815.7848965767573
triton_fused,10000000,1024,4,9766,0.07352319955825806,816.0689464072819
triton_fused,10000000,1024,8,9766,0.07495679855346679,800.4610810212487
